,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
51326,Q324905,Nikki Sudden,British musician,Male,United Kingdom,Artist,1956,2006,natural causes,50
51332,Q324925,Tony Buzan,British psychologist,Male,United Kingdom,Artist,1942,2019,natural causes,77
51338,Q324943,Tadashi Nakayama,Japanese mathematician,Male,Japan,Researcher,1912,1964,natural causes,52
51343,Q324962,Sergey Volkov,figure skater,Male,Russia,Athlete,1949,1990,natural causes,41
51344,Q324968,Sergey Ivanovich Vavilov,Russian physicist,Male,Russia; Russia; Russian  Federative Socialist Republic,Researcher,1891,1951,natural causes,60
51348,Q324992,Thomas Midgley,American chemist (1889-1944),Male,United States,Researcher,1889,1944,accident,55
51352,Q325004,Alexander Afanasyev,Russian folklorist (1826-1871),Male,Russia,Researcher,1826,1871,natural causes,45
51370,Q325079,Alain Jacquet,French artist (1939-2008),Male,France,Artist,1939,2008,natural causes,69
51372,Q325082,Charles Rocket,"actor, comedian",Male,United States,Artist,1949,2005,suicide,56
51379,Q325105,Giorgio Pasquali,Italian classical philologist,Male,Italy,Teacher,1885,1952,accident,67
51385,Q325128,Bill Lear,American businessman and inventor,Male,United States,Businessperson,1902,1978,natural causes,76
51390,Q325147,Bob Weinstock,American record producer,Male,United States,Artist,1928,2006,natural causes,78
51395,Q325183,Adolphe Clément-Bayard,French businessman,Male,France,Businessperson,1855,1928,natural causes,73
51396,Q325185,Leonard Freed,American photographer,Male,United States,Artist,1929,2006,natural causes,77
51398,Q325191,Herman Gorter,Dutch poet and socialist (1864-1927),Male,Netherlands,Artist,1864,1927,natural causes,63
51407,Q325235,Joseph Fontanet,French politician (1921-1980),Male,France,Politician,1921,1980,homicide,59
51412,Q325250,Catfish Hunter,American baseball player,Male,United States,Athlete,1946,1999,natural causes,53
51426,Q325301,Hal Draper,American activist and author (1914-1990),Male,United States,Artist,1914,1990,natural causes,76
51435,Q325334,Steve Tracy,actor,Male,United States,Artist,1952,1986,natural causes,34
51446,Q325377,Malcolm McLaren,"English artist, performer and fashion designer",Male,United Kingdom,Artist,1946,2010,natural causes,64
51450,Q325398,Phil Brown,American actor,Male,United States,Artist,1916,2006,natural causes,90
51452,Q325403,Aneurin Bevan,Welsh politician (1897-1960),Male,United Kingdom,Politician,1897,1960,natural causes,63
51454,Q325412,Robert Palmer,English singer-songwriter and musician,Male,United States,Artist,1949,2003,natural causes,54
51457,Q325422,George Clayton Johnson,American writer (1929-2015),Male,United States,Artist,1929,2015,natural causes,86
51458,Q325427,Howard Keel,American actor and singer,Male,United States,Artist,1919,2004,natural causes,85
51466,Q325449,Primo Carnera,Italian boxer (1906-1967),Male,Italy,Athlete,1906,1967,natural causes,61
51468,Q325453,Daniel Toscan du Plantier,French film producer,Male,France,Film producer,1941,2003,natural causes,62
